Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2025 15:17:11,12.575066,76.07988,9.17275,58.024715,0.013405281,0.13211702,6.976209,-28.726713,-147.0201,8.978572,0.035012994,17234.086,0.9994593,0.049451925,0.003107873,0.04603422,725.68567,12.464233,1.5126929,0.19746543,0,67,967.50183,21.080854,42.05030439,-78.87136446,
10/7/2025 15:17:13,12.5695305,76.09841,9.279196,58.030914,0.012878265,0.12686934,6.9768205,-28.75982,-147.29593,8.9986105,0.035021707,17232.236,0.99946004,0.049463972,0.002782295,0.03970824,725.6855,12.492707,1.4926542,0.18962573,0,67,967.5016,21.080572,42.05030437,-78.87136448,
10/7/2025 15:17:15,12.563995,76.11694,9.38564,58.03711,0.01235125,0.12162165,6.9774313,-28.792927,-147.57176,9.01865,0.03503042,17230.389,0.99946076,0.049476016,0.002456717,0.033382263,725.6853,12.52118,1.4726156,0.181786,0,67,967.50134,21.080288,42.05030523,-78.87136447,
10/7/2025 15:17:17,11.833121,81.11648,10.052317,60.702385,0.014488136,0.1404086,6.986929,-29.240139,-152.97731,9.016623,0.037406094,16480.498,0.9995471,0.052725714,0.010601691,0.03391254,725.6912,12.518319,1.4746288,0.21001126,0,67,967.5093,21.072,42.05030523,-78.87136447,
10/7/2025 15:17:19,11.814717,81.24098,10.11402,60.76859,0.014394517,0.13942546,6.9872966,-29.258482,-153.2027,9.025172,0.037465256,16461.816,0.9995493,0.052806642,0.010677684,0.031049028,725.69116,12.530469,1.4660786,0.20854563,0,67,967.5092,21.071718,42.05030515,-78.87136447,
10/7/2025 15:17:21,11.796314,81.36549,10.175724,60.834793,0.014300897,0.13844232,6.987664,-29.276827,-153.42807,9.033723,0.03752442,16443.135,0.9995515,0.05288757,0.010753677,0.028185515,725.69116,12.542618,1.4575285,0.20708,0,67,967.5092,21.071434,42.05030515,-78.87136447,
10/7/2025 15:17:23,11.77791,81.49,10.237428,60.900997,0.014207277,0.13745917,6.9880323,-29.29517,-153.65346,9.042273,0.037583586,16424.451,0.9995537,0.052968502,0.010829669,0.025322001,725.6911,12.554767,1.4489783,0.20561439,0,67,967.50916,21.07115,42.05030515,-78.87136447,
10/7/2025 15:17:25,11.759507,81.61451,10.299131,60.9672,0.014113656,0.13647604,6.9884,-29.313513,-153.87885,9.050822,0.037642747,16405.77,0.9995558,0.05304943,0.010905663,0.02245849,725.69104,12.5669155,1.4404281,0.20414875,0,67,967.5091,21.070866,42.05030514,-78.87136447,
10/7/2025 15:17:27,11.741103,81.73901,10.360835,61.033405,0.014020037,0.13549289,6.9887676,-29.331856,-154.10422,9.059372,0.037701912,16387.088,0.99955803,0.053130362,0.010981655,0.019594977,725.69104,12.579064,1.431878,0.20268314,0,67,967.50903,21.070583,42.05030514,-78.87136447,
10/7/2025 15:17:29,11.7227,81.863525,10.422539,61.09961,0.013926417,0.13450976,6.9891353,-29.350199,-154.3296,9.067923,0.037761074,16368.406,0.99956024,0.05321129,0.011057648,0.016731465,725.691,12.591213,1.4233278,0.20121752,0,67,967.509,21.0703,42.05030514,-78.87136447,
10/7/2025 15:17:31,11.704296,81.98803,10.484243,61.165813,0.013832796,0.13352661,6.9895034,-29.368544,-154.555,9.076472,0.03782024,16349.725,0.9995624,0.053292222,0.01113364,0.013867952,725.6909,12.603363,1.4147776,0.19975188,0,67,967.5089,21.070015,42.05030514,-78.87136447,
10/7/2025 15:17:33,11.5346775,82.09024,10.112532,60.973766,0.00578789,0.055777136,6.9667873,-28.105766,-156.43987,9.065259,0.03785944,16401.79,0.9995808,0.05335866,0.001306704,0.021337425,725.6332,12.587403,1.4260095,0.083441354,0,67,967.4318,21.044476,42.05030514,-78.87136447,
10/7/2025 15:17:35,11.52302,82.1451,10.113281,60.997227,0.005612915,0.054063864,6.9663696,-28.081675,-156.54585,9.065436,0.03788529,16395.139,0.9995821,0.053394318,0.001156161,0.021368006,725.63184,12.587654,1.4258327,0.08087981,0,67,967.4301,21.04379,42.05030514,-78.87136447,
10/7/2025 15:17:37,11.511361,82.19997,10.11403,61.02069,0.005437939,0.052350592,6.9659514,-28.057585,-156.65186,9.065614,0.03791114,16388.49,0.9995835,0.05342998,0.001005619,0.021398587,725.63055,12.587906,1.4256558,0.07831826,0,67,967.4284,21.043104,42.05030514,-78.87136447,
