Location Properties,,,,,,,,,,,,,,,,,,
5/13/2025 15:50,67.502106,15.640127,6.9180613,8.225995,84.912224,1.4637359,0.97378623,0.03573958,4.043102,-7.1180606,6.44789,0,83,987.3581,20.630116,41.23137442,-74.07650624,
5/13/2025 15:50,67.88985,14.861464,6.8776255,7.8546066,79.74173,0.5468196,1.0217811,0.018912863,4.884707,-4.823516,5.606311,0,83,987.359,20.621073,41.23137442,-74.07650624,
5/13/2025 15:50,67.9059,14.829804,6.8757663,7.839613,79.532486,0.5071772,1.0205745,0.01820049,4.918195,-4.71809,5.5728235,0,83,987.3593,20.620878,41.23137442,-74.07650624,
5/13/2025 15:50,67.92195,14.798145,6.8739076,7.8246193,79.32324,0.4675347,1.0193678,0.017488116,4.951683,-4.612664,5.5393357,0,83,987.3596,20.620684,41.23137442,-74.07650624,
5/13/2025 15:50,67.938,14.766485,6.872049,7.8096256,79.114006,0.42789224,1.0181612,0.016775744,4.9851713,-4.5072384,5.5058484,0,83,987.35986,20.62049,41.23137442,-74.07650624,
5/13/2025 15:50,67.8193,14.212695,6.8298345,7.5023513,75.103226,0.33905193,0.9238762,0.01583081,4.985521,-2.1289213,5.505465,0,82.17535,987.35144,20.63689,41.23137442,-74.07650624,
5/13/2025 15:50,67.821594,14.179061,6.8275833,7.4847236,74.867615,0.31988713,0.921163,0.015504729,4.999945,-2.0018182,5.4910398,0,82.14516,987.35114,20.637348,41.23137442,-74.07650624,
5/13/2025 15:50,67.82388,14.145427,6.825332,7.4670963,74.632,0.30072233,0.91844976,0.01517865,5.01437,-1.8747151,5.4766145,0,82.11496,987.3508,20.637806,41.23137442,-74.07650624,
5/13/2025 15:50,67.82617,14.111793,6.8230815,7.4494686,74.39639,0.28155756,0.9157365,0.01485257,5.0287943,-1.7476121,5.4621887,0,82.08476,987.3505,20.638264,41.23137442,-74.07650624,
5/13/2025 15:50,67.99732,13.722499,6.7853994,7.20467,71.34171,0.16178656,0.9160208,0.00868666,5.0224113,0.36712658,5.46867,0,82.04335,987.3587,20.639132,41.23137442,-74.07650624,
5/13/2025 15:51,68.003235,13.697958,6.7831855,7.189827,71.15395,0.15511815,0.9147325,0.008402189,5.022371,0.49151513,5.468714,0,82.03041,987.35895,20.63939,41.23137442,-74.07650624,
5/13/2025 15:51,68.00914,13.673417,6.7809715,7.174984,70.966194,0.14844976,0.9134442,0.008117719,5.0223303,0.6159037,5.4687586,0,82.01746,987.3592,20.63965,41.23137442,-74.07650624,
