Location Properties,,,,,,,,,,,,,,,,,,,,,
5/27/2025 17:49:2,,82.25265,7.24691,73.89471,0.013063015,0.023649171,6.993184,-11.342861,250.67392,0.58585083,15.23699,743.20593,11.500174,8.29985,0,77,990.8603,22.300364,41.26861379,-74.08752568,
5/27/2025 17:49:4,,82.26823,7.143452,72.818245,0.00391526,0.023248004,6.961817,-9.574217,251.55719,0.61662817,15.222725,743.1993,11.506256,8.30405,0,77,990.8514,22.300327,41.26861449,-74.08751624,
5/27/2025 17:49:6,,82.27025,7.1378226,72.75869,0.003751829,0.023194822,6.9600425,-9.474148,251.60225,0.6173897,15.221351,743.1989,11.506212,8.304016,0,77,990.8509,22.300188,41.26861581,-74.08751865,
5/27/2025 17:49:8,,82.27227,7.1321926,72.69913,0.003588398,0.023141637,6.958268,-9.374079,251.64732,0.6181512,15.219976,743.19855,11.506169,8.303983,0,77,990.8504,22.300047,41.26861634,-74.08751699,
5/27/2025 17:49:10,,82.2743,7.126563,72.63957,0.003424967,0.023088455,6.956494,-9.27401,251.6924,0.61891264,15.218602,743.1982,11.506125,8.303948,0,77,990.85,22.299906,41.2686114,-74.0875297,
5/27/2025 17:49:12,,82.26701,7.07609,72.15092,0.001915649,0.023480453,6.938901,-8.282828,251.491,0.5787658,15.236021,743.211,11.529074,8.320197,0,77,990.867,22.308487,41.26861244,-74.08753301,
5/27/2025 17:49:14,,82.267006,7.072413,72.114044,0.001713492,0.023489034,6.937696,-8.214923,251.4978,0.57770246,15.23644,743.2114,11.530061,8.320894,0,77,990.86755,22.308817,41.26861116,-74.0875346,
5/27/2025 17:49:16,,82.26699,7.068736,72.07717,0.001511334,0.023497617,6.9364915,-8.147018,251.50461,0.5766391,15.236858,743.2118,11.531049,8.321591,0,77,990.86804,22.309145,41.26860735,-74.08752602,
5/27/2025 17:49:18,,82.26698,7.065059,72.04029,0.001309176,0.023506198,6.9352865,-8.079113,251.5114,0.57557577,15.237277,743.21216,11.532036,8.322289,0,77,990.8686,22.309473,41.26860377,-74.08752057,
5/27/2025 17:49:20,,82.26697,7.0613823,72.00342,0.001107018,0.023514781,6.9340816,-8.011209,251.5182,0.57451236,15.237696,743.2126,11.533024,8.322987,0,77,990.8691,22.309803,41.26860531,-74.0875236,
