"Location Properties"
"Location Name = LT2"
"Location ID = 731683c1-f50f-401e-8516-0e9234fe7550"
"Latitude = 41.260929701342796 °"
"Longitude = -74.09578356657856 °"
""
"Report Properties"
"Start Time = 2025-09-16 15:08:19"
"Time Offset = -04:00:00"
"Duration = 00:12:50"
"Readings = 386"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 1153542"
""
""
"Date Time","Specific Conductivity (µS/cm) (1154450)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","BGA-PC Fluorescence (RFU) (1142613)","Chlorophyll-a Fluorescence (RFU) (1151543)","pH (pH) (1112266)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Turbidity (NTU) (1154355)","Temperature (°C) (1155867)","Barometric Pressure (mm Hg) (1155867)","Pressure (psi) (1147922)","Depth (m) (1147922)","External Voltage (V) (1155867)","Battery Capacity (%) (1155867)","Barometric Pressure (mbar) (1153542)","Temperature (°C) (1153542)","Latitude (°)","Longitude (°)","Marked"
"2025-09-16 15:13:51","85.64609","8.472862","99.79846","0.0027603868","0.029625885","7.1530366","-39.749813","175.51393","1.1666429","22.180204","741.0522","4.083074","3.0799482","0","76","987.9889","24.968847","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:53","85.561","8.4542885","99.522804","0.009855599","0.029256653","7.1102014","-37.309994","178.38724","1.1318523","22.15232","741.0783","4.6893663","3.5064337","0","76","988.0237","24.977861","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:55","85.557915","8.453636","99.51301","0.010016514","0.029200831","7.108734","-37.226425","178.48813","1.1307694","22.151302","741.07947","4.7143097","3.5239787","0","76","988.0252","24.978497","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:57","85.55484","8.452983","99.50321","0.010177429","0.02914501","7.107267","-37.14286","178.58902","1.1296864","22.150284","741.0806","4.739253","3.541524","0","76","988.0268","24.979134","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:59","85.55176","8.452331","99.493416","0.010338344","0.029089188","7.1058","-37.05929","178.68991","1.1286035","22.149265","741.0818","4.7641964","3.559069","0","76","988.0283","24.979769","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:14:01","85.46155","8.294165","97.510994","0.015745074","0.02273459","7.093131","-36.33081","179.60709","1.07562","22.083994","741.0691","4.9385467","3.6815495","0","76","988.01135","24.988184","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:14:03","85.456436","8.287463","97.42626","0.016087038","0.0224728","7.091874","-36.25894","179.69409","1.072872","22.08088","741.06903","4.956103","3.6938922","0","76","988.0112","24.988676","41.268530491508976","-74.08762506579654",""
"2025-09-16 15:14:05","85.45132","8.280763","97.34153","0.016429005","0.022211013","7.090617","-36.187073","179.78108","1.0701239","22.077765","741.069","4.9736586","3.7062352","0","76","988.01117","24.98917","41.26853111091546","-74.08762882634274",""
"2025-09-16 15:14:07","85.446205","8.274062","97.256805","0.016770972","0.021949224","7.08936","-36.115204","179.86807","1.0673759","22.07465","741.0689","4.9912148","3.7185779","0","76","988.01105","24.989664","41.26853348625382","-74.08762688918901",""
"2025-09-16 15:14:09","85.53432","8.032768","94.37779","0.0033166527","0.019017648","7.0280952","-32.629173","183.44487","1.131152","22.049091","741.04254","5.1284013","3.8152168","0","76","987.97595","24.99825","41.26853348625382","-74.08762688918901",""
"2025-09-16 15:14:11","85.536415","8.020144","94.22555","0.0028537058","0.018789737","7.0253334","-32.47187","183.6093","1.1328862","22.04693","741.04126","5.137288","3.8214707","0","76","987.97424","24.99875","41.268534487802846","-74.08763053618642",""
"2025-09-16 15:14:13","85.538506","8.007522","94.07331","0.0023907588","0.018561825","7.022571","-32.314564","183.77373","1.1346203","22.04477","741.04","5.1461744","3.8277247","0","76","987.97253","24.999252","41.26853366523793","-74.08763159611068",""
"2025-09-16 15:14:15","85.540596","7.9948974","93.921074","0.0019278118","0.018333914","7.019809","-32.15726","183.93814","1.1363544","22.04261","741.0387","5.155061","3.8339787","0","76","987.97076","24.999754","41.268531503535314","-74.08763505322239",""
"2025-09-16 15:14:17","85.350334","7.8888416","92.60664","0.0007246149","0.014286312","7.0066404","-31.404575","184.5997","1.1380574","22.004038","741.0388","5.6238613","4.1638837","0","76","987.97095","24.999664","41.26853287614171","-74.08762736854177",""
"2025-09-16 15:14:19","85.344215","7.880282","92.50251","0.00044174914","0.014070511","7.0050163","-31.312046","184.69034","1.1392308","22.002016","741.0383","5.645283","4.1789603","0","76","987.97034","24.999817","41.268535028689165","-74.08762574715236",""
"2025-09-16 15:14:21","85.3381","7.871722","92.39838","0.0001588834","0.01385471","7.0033927","-31.219515","184.78096","1.1404042","21.999994","741.0379","5.6667047","4.194037","0","76","987.9697","24.99997","41.268535007721006","-74.08762193851133",""
"2025-09-16 15:14:23","85.33197","7.8631625","92.29424","0","0.013638909","7.001769","-31.126986","184.87158","1.1415777","21.997972","741.0374","5.6881266","4.2091136","0","76","987.9691","25.00012","41.268534775080354","-74.08762316319495",""
"2025-09-16 15:14:25","85.34136","7.8941746","92.61466","0.0026162122","0.019120166","6.992691","-30.60866","184.83804","1.0956897","21.975496","741.0633","5.4581084","4.0476103","0","76","988.0036","24.99153","41.268535757581944","-74.08762062690353",""
"2025-09-16 15:14:27","85.33861","7.893502","92.6038","0.002700794","0.019271927","6.992068","-30.573072","184.84985","1.0938847","21.973917","741.06433","5.4567103","4.0466413","0","76","988.00494","24.991186","41.268536991315784","-74.08762363798604",""
"2025-09-16 15:14:29","85.33585","7.89283","92.59293","0.0027853758","0.019423688","6.9914446","-30.537485","184.86166","1.0920799","21.972338","741.0653","5.4553123","4.0456724","0","76","988.00635","24.990843","41.26853653237567","-74.08762339163837",""
"2025-09-16 15:14:31","85.3331","7.892158","92.58207","0.0028699576","0.019575449","6.9908214","-30.501898","184.87347","1.090275","21.970758","741.06635","5.453914","4.044703","0","76","988.0077","24.9905","41.26853742216964","-74.087622964402",""
"2025-09-16 15:14:33","85.424736","7.9052935","92.72162","0.010020145","0.018083252","6.952543","-28.325321","186.33429","1.1018592","21.960371","741.03503","5.460115","4.049128","0","76","987.96594","24.981936","41.268537079619456","-74.08761783501122",""
"2025-09-16 15:14:35","85.42863","7.906283","92.73189","0.0103535075","0.018113598","6.950819","-28.227264","186.39401","1.1015751","21.959562","741.0342","5.456577","4.0466466","0","76","987.96484","24.981445","41.26853926070965","-74.08761694654868",""
"2025-09-16 15:14:37","85.43251","7.9072723","92.742165","0.01068687","0.018143944","6.9490952","-28.129208","186.45372","1.1012911","21.958754","741.0333","5.453038","4.044165","0","76","987.9637","24.980955","41.26854314185305","-74.08761589715996",""
"2025-09-16 15:14:39","85.4364","7.9082623","92.75243","0.011020232","0.01817429","6.9473715","-28.03115","186.51344","1.101007","21.957945","741.0325","5.4495","4.041684","0","76","987.9626","24.980465","41.268544961810896","-74.087611103595",""
