Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2025 18:04,18.4782,80.296974,5.3479166,70.291405,1.8775749,21.031826,6.973514,-29.169476,44.324677,4.1366568,0.03721841,14229.241,0.99853647,0.052193034,2.733217,1.6364391,724.59503,5.584286,6.3546195,31.165617,0,73,966.0478,25.530708,42.10392789,-78.74663277,
9/23/2025 18:04,18.179634,83.1328,7.4103513,72.294914,1.4397368,16.040398,6.946953,-27.65011,11.99372,4.1232495,0.03859086,13838.305,0.99859357,0.05403632,3.6464493,1.3385181,724.5762,5.5653224,6.367965,23.777325,0,73,966.02264,25.505228,42.10392789,-78.74663277,
9/23/2025 18:04,18.156898,83.3494,7.5421495,72.45013,1.4092306,15.688582,6.943605,-27.459597,8.930462,4.123134,0.038695764,13806.401,0.998598,0.054177113,3.7246377,1.3508861,724.5758,5.5651603,6.368079,23.257044,0,73,966.0222,25.50374,42.10392789,-78.74663277,
9/23/2025 18:04,18.134163,83.56601,7.6739483,72.60535,1.3787243,15.336767,6.940257,-27.269081,5.8672028,4.123019,0.038800668,13774.497,0.9986024,0.054317906,3.8028264,1.363254,724.5755,5.5649986,6.3681936,22.736763,0,73,966.0217,25.502253,42.10392789,-78.74663277,
9/23/2025 18:04,18.11143,83.782616,7.805747,72.76056,1.3482181,14.984952,6.9369087,-27.078566,2.803944,4.122904,0.038905572,13742.594,0.9986068,0.0544587,3.8810148,1.3756219,724.57513,5.5648365,6.3683076,22.21648,0,73,966.0213,25.500765,42.10392789,-78.74663277,
9/23/2025 18:04,17.951874,84.8182,8.755307,73.39822,1.0451882,11.584534,6.8907857,-24.478743,-10.808714,4.133815,0.039405573,13625.214,0.9986367,0.05513183,4.6418104,1.3593783,724.6004,5.580321,6.3574104,17.178764,0,73,966.055,25.475235,42.10392789,-78.74663277,
9/23/2025 18:04,17.939983,84.91159,8.830499,73.460434,1.024938,11.355763,6.8883843,-24.34298,-11.958988,4.134226,0.039450727,13613.314,0.998639,0.055192538,4.689385,1.3542032,724.60114,5.5809054,6.356999,16.839972,0,73,966.0559,25.473742,42.10392789,-78.74663277,
9/23/2025 18:04,17.928091,85.00499,8.90569,73.52265,1.0046878,11.126993,6.885983,-24.207216,-13.1092615,4.134637,0.03949588,13601.416,0.99864125,0.055253245,4.7369595,1.3490281,724.6018,5.58149,6.3565874,16.50118,0,73,966.0569,25.472248,42.10392789,-78.74663277,
9/23/2025 18:04,17.9162,85.09839,8.980881,73.58487,0.9844376,10.898223,6.8835816,-24.071455,-14.259536,4.135048,0.039541036,13589.518,0.9986435,0.055313956,4.784534,1.3438529,724.60254,5.5820746,6.356176,16.16239,0,73,966.0578,25.470757,42.10392789,-78.74663277,
9/23/2025 18:04,17.771975,85.66648,9.74021,73.83913,0.78271675,8.642335,6.866537,-23.104803,-22.69707,4.135917,0.039814286,13543.078,0.99867,0.05568321,4.846407,1.3398278,724.5902,5.5832543,6.3553457,12.818851,0,73,966.04126,25.428371,42.10392789,-78.74663277,
9/23/2025 18:04,17.763138,85.70991,9.788754,73.862305,0.76900154,8.488618,6.865014,-23.018705,-23.310081,4.1361384,0.039835215,13538.784,0.9986716,0.055711437,4.862987,1.3395678,724.59015,5.583566,6.355126,12.591074,0,73,966.0412,25.426208,42.10392789,-78.74663277,
9/23/2025 18:04,17.754301,85.753334,9.8373,73.885475,0.75528634,8.334901,6.863491,-22.932608,-23.923092,4.1363597,0.039856143,13534.489,0.99867326,0.055739664,4.8795667,1.3393079,724.59,5.583878,6.3549066,12.363297,0,73,966.0411,25.424046,42.10392789,-78.74663277,
9/23/2025 18:04,17.745464,85.79675,9.885845,73.908646,0.7415711,8.181185,6.8619685,-22.84651,-24.536104,4.136581,0.039877072,13530.195,0.99867487,0.05576789,4.8961463,1.3390479,724.58997,5.58419,6.354687,12.13552,0,73,966.041,25.421883,42.10392789,-78.74663277,
9/23/2025 18:04,17.658941,86.153,9.638146,74.07286,0.5778514,6.365062,6.84332,-21.795403,-29.99291,4.132777,0.040048394,13500.252,0.9986908,0.055999447,5.450811,1.3892734,724.57025,5.578769,6.3585024,9.442311,0,73,966.0148,25.404655,42.10392789,-78.74663277,
9/23/2025 18:04,17.652847,86.17824,9.641736,74.08461,0.56754375,6.2503614,6.8422456,-21.734737,-30.371378,4.1326413,0.040060535,13498.1,0.9986919,0.056015853,5.4750347,1.3911803,724.5693,5.5785747,6.3586392,9.272253,0,73,966.0134,25.403225,42.10392789,-78.74663277,
9/23/2025 18:04,17.646751,86.203476,9.645327,74.09637,0.557236,6.1356606,6.841171,-21.674072,-30.749846,4.1325054,0.040072676,13495.948,0.99869305,0.05603226,5.499258,1.393087,724.56824,5.5783796,6.3587766,9.102195,0,73,966.0121,25.401793,42.10392789,-78.74663277,
9/23/2025 18:04,17.640656,86.228714,9.648916,74.108116,0.54692835,6.02096,6.8400965,-21.613409,-31.128313,4.132369,0.040084817,13493.796,0.9986942,0.05604866,5.5234814,1.3949939,724.56726,5.578185,6.3589134,8.932137,0,73,966.01074,25.400362,42.10392789,-78.74663277,
